id_1,id_2,name_1,name_2
3,13,M230905_197120_197122_LEFT.rxp,M230905_198009_198060_LEFT.rxp
4,6,M230905_197128_197161_LEFT.rxp,M230905_197216_197220_LEFT.rxp
4,7,M230905_197128_197161_LEFT.rxp,M230905_197220_197248_LEFT.rxp
4,13,M230905_197128_197161_LEFT.rxp,M230905_198009_198060_LEFT.rxp
