id_1,id_2,name_1,name_2
124,187,M230905_205440_205473_LEFT.rxp,M230905_210381_210420_LEFT.rxp
125,188,M230905_205532_205560_LEFT.rxp,M230905_210420_210480_LEFT.rxp
125,290,M230905_205532_205560_LEFT.rxp,M230905_219507_219540_LEFT.rxp
126,292,M230905_205560_205620_LEFT.rxp,M230905_219610_219651_LEFT.rxp
126,293,M230905_205560_205620_LEFT.rxp,M230905_219735_219780_LEFT.rxp
126,295,M230905_205560_205620_LEFT.rxp,M230905_219851_219900_LEFT.rxp
128,236,M230905_205680_205740_LEFT.rxp,M230905_215760_215820_LEFT.rxp
128,237,M230905_205680_205740_LEFT.rxp,M230905_215820_215823_LEFT.rxp
137,150,M230905_206221_206280_LEFT.rxp,M230905_207360_207420_LEFT.rxp
137,158,M230905_206221_206280_LEFT.rxp,M230905_207960_208020_LEFT.rxp
137,176,M230905_206221_206280_LEFT.rxp,M230905_208854_208860_LEFT.rxp
137,177,M230905_206221_206280_LEFT.rxp,M230905_208860_208920_LEFT.rxp
138,174,M230905_206280_206340_LEFT.rxp,M230905_208740_208800_LEFT.rxp
138,175,M230905_206280_206340_LEFT.rxp,M230905_208800_208807_LEFT.rxp
139,146,M230905_206340_206400_LEFT.rxp,M230905_207149_207180_LEFT.rxp
148,167,M230905_207240_207300_LEFT.rxp,M230905_208320_208375_LEFT.rxp
149,153,M230905_207300_207360_LEFT.rxp,M230905_207718_207720_LEFT.rxp
149,154,M230905_207300_207360_LEFT.rxp,M230905_207720_207780_LEFT.rxp
149,168,M230905_207300_207360_LEFT.rxp,M230905_208414_208440_LEFT.rxp
154,179,M230905_207720_207780_LEFT.rxp,M230905_209012_209040_LEFT.rxp
155,157,M230905_207780_207812_LEFT.rxp,M230905_207913_207960_LEFT.rxp
155,178,M230905_207780_207812_LEFT.rxp,M230905_208920_208968_LEFT.rxp
155,179,M230905_207780_207812_LEFT.rxp,M230905_209012_209040_LEFT.rxp
155,183,M230905_207780_207812_LEFT.rxp,M230905_209160_209220_LEFT.rxp
156,166,M230905_207850_207900_LEFT.rxp,M230905_208260_208320_LEFT.rxp
156,183,M230905_207850_207900_LEFT.rxp,M230905_209160_209220_LEFT.rxp
157,166,M230905_207913_207960_LEFT.rxp,M230905_208260_208320_LEFT.rxp
157,173,M230905_207913_207960_LEFT.rxp,M230905_208680_208740_LEFT.rxp
157,179,M230905_207913_207960_LEFT.rxp,M230905_209012_209040_LEFT.rxp
157,181,M230905_207913_207960_LEFT.rxp,M230905_209100_209134_LEFT.rxp
158,161,M230905_207960_208020_LEFT.rxp,M230905_208080_208102_LEFT.rxp
158,162,M230905_207960_208020_LEFT.rxp,M230905_208105_208140_LEFT.rxp
158,163,M230905_207960_208020_LEFT.rxp,M230905_208140_208157_LEFT.rxp
158,184,M230905_207960_208020_LEFT.rxp,M230905_209220_209231_LEFT.rxp
159,177,M230905_208020_208027_LEFT.rxp,M230905_208860_208920_LEFT.rxp
160,177,M230905_208070_208080_LEFT.rxp,M230905_208860_208920_LEFT.rxp
161,177,M230905_208080_208102_LEFT.rxp,M230905_208860_208920_LEFT.rxp
162,184,M230905_208105_208140_LEFT.rxp,M230905_209220_209231_LEFT.rxp
164,177,M230905_208198_208200_LEFT.rxp,M230905_208860_208920_LEFT.rxp
165,174,M230905_208200_208260_LEFT.rxp,M230905_208740_208800_LEFT.rxp
165,177,M230905_208200_208260_LEFT.rxp,M230905_208860_208920_LEFT.rxp
165,185,M230905_208200_208260_LEFT.rxp,M230905_209320_209340_LEFT.rxp
166,182,M230905_208260_208320_LEFT.rxp,M230905_209159_209160_LEFT.rxp
166,183,M230905_208260_208320_LEFT.rxp,M230905_209160_209220_LEFT.rxp
167,172,M230905_208320_208375_LEFT.rxp,M230905_208651_208680_LEFT.rxp
167,180,M230905_208320_208375_LEFT.rxp,M230905_209040_209078_LEFT.rxp
169,170,M230905_208440_208452_LEFT.rxp,M230905_208495_208500_LEFT.rxp
169,180,M230905_208440_208452_LEFT.rxp,M230905_209040_209078_LEFT.rxp
172,181,M230905_208651_208680_LEFT.rxp,M230905_209100_209134_LEFT.rxp
173,178,M230905_208680_208740_LEFT.rxp,M230905_208920_208968_LEFT.rxp
173,183,M230905_208680_208740_LEFT.rxp,M230905_209160_209220_LEFT.rxp
178,183,M230905_208920_208968_LEFT.rxp,M230905_209160_209220_LEFT.rxp
187,287,M230905_210381_210420_LEFT.rxp,M230905_219240_219262_LEFT.rxp
188,283,M230905_210420_210480_LEFT.rxp,M230905_219069_219120_LEFT.rxp
188,290,M230905_210420_210480_LEFT.rxp,M230905_219507_219540_LEFT.rxp
188,295,M230905_210420_210480_LEFT.rxp,M230905_219851_219900_LEFT.rxp
188,296,M230905_210420_210480_LEFT.rxp,M230905_219900_219902_LEFT.rxp
188,297,M230905_210420_210480_LEFT.rxp,M230905_219912_219934_LEFT.rxp
190,234,M230905_210540_210600_LEFT.rxp,M230905_215657_215700_LEFT.rxp
191,215,M230905_210600_210660_LEFT.rxp,M230905_213256_213300_LEFT.rxp
191,234,M230905_210600_210660_LEFT.rxp,M230905_215657_215700_LEFT.rxp
192,215,M230905_210660_210720_LEFT.rxp,M230905_213256_213300_LEFT.rxp
193,244,M230905_210720_210780_LEFT.rxp,M230905_216840_216878_LEFT.rxp
193,245,M230905_210720_210780_LEFT.rxp,M230905_216916_216960_LEFT.rxp
193,259,M230905_210720_210780_LEFT.rxp,M230905_217560_217615_LEFT.rxp
193,260,M230905_210720_210780_LEFT.rxp,M230905_217618_217620_LEFT.rxp
193,261,M230905_210720_210780_LEFT.rxp,M230905_217620_217628_LEFT.rxp
193,266,M230905_210720_210780_LEFT.rxp,M230905_217860_217878_LEFT.rxp
193,267,M230905_210720_210780_LEFT.rxp,M230905_217905_217920_LEFT.rxp
193,269,M230905_210720_210780_LEFT.rxp,M230905_217997_218027_LEFT.rxp
194,256,M230905_210780_210840_LEFT.rxp,M230905_217440_217459_LEFT.rxp
194,257,M230905_210780_210840_LEFT.rxp,M230905_217474_217500_LEFT.rxp
194,264,M230905_210780_210840_LEFT.rxp,M230905_217793_217800_LEFT.rxp
235,239,M230905_215700_215760_LEFT.rxp,M230905_216541_216600_LEFT.rxp
241,280,M230905_216660_216720_LEFT.rxp,M230905_218571_218580_LEFT.rxp
242,279,M230905_216720_216780_LEFT.rxp,M230905_218460_218508_LEFT.rxp
243,245,M230905_216780_216840_LEFT.rxp,M230905_216916_216960_LEFT.rxp
243,246,M230905_216780_216840_LEFT.rxp,M230905_216960_217020_LEFT.rxp
244,245,M230905_216840_216878_LEFT.rxp,M230905_216916_216960_LEFT.rxp
244,259,M230905_216840_216878_LEFT.rxp,M230905_217560_217615_LEFT.rxp
