id_1,id_2,name_1,name_2
47,48,M230905_200243_200280_LEFT.rxp,M230905_200280_200308_LEFT.rxp
47,49,M230905_200243_200280_LEFT.rxp,M230905_200353_200400_LEFT.rxp
47,96,M230905_200243_200280_LEFT.rxp,M230905_204000_204060_LEFT.rxp
47,97,M230905_200243_200280_LEFT.rxp,M230905_204060_204120_LEFT.rxp
48,49,M230905_200280_200308_LEFT.rxp,M230905_200353_200400_LEFT.rxp
49,50,M230905_200353_200400_LEFT.rxp,M230905_200400_200460_LEFT.rxp
50,51,M230905_200400_200460_LEFT.rxp,M230905_200460_200520_LEFT.rxp
50,57,M230905_200400_200460_LEFT.rxp,M230905_200760_200802_LEFT.rxp
51,52,M230905_200460_200520_LEFT.rxp,M230905_200520_200522_LEFT.rxp
51,57,M230905_200460_200520_LEFT.rxp,M230905_200760_200802_LEFT.rxp
51,94,M230905_200460_200520_LEFT.rxp,M230905_203880_203941_LEFT.rxp
52,94,M230905_200520_200522_LEFT.rxp,M230905_203880_203941_LEFT.rxp
53,54,M230905_200536_200580_LEFT.rxp,M230905_200580_200609_LEFT.rxp
53,56,M230905_200536_200580_LEFT.rxp,M230905_200738_200760_LEFT.rxp
53,94,M230905_200536_200580_LEFT.rxp,M230905_203880_203941_LEFT.rxp
54,55,M230905_200580_200609_LEFT.rxp,M230905_200660_200682_LEFT.rxp
54,56,M230905_200580_200609_LEFT.rxp,M230905_200738_200760_LEFT.rxp
56,57,M230905_200738_200760_LEFT.rxp,M230905_200760_200802_LEFT.rxp
58,59,M230905_200924_200940_LEFT.rxp,M230905_200940_200948_LEFT.rxp
58,94,M230905_200924_200940_LEFT.rxp,M230905_203880_203941_LEFT.rxp
59,94,M230905_200940_200948_LEFT.rxp,M230905_203880_203941_LEFT.rxp
60,93,M230905_200967_200973_LEFT.rxp,M230905_203821_203880_LEFT.rxp
60,94,M230905_200967_200973_LEFT.rxp,M230905_203880_203941_LEFT.rxp
61,62,M230905_200991_201001_LEFT.rxp,M230905_201001_201061_LEFT.rxp
61,93,M230905_200991_201001_LEFT.rxp,M230905_203821_203880_LEFT.rxp
62,63,M230905_201001_201061_LEFT.rxp,M230905_201061_201103_LEFT.rxp
62,66,M230905_201001_201061_LEFT.rxp,M230905_201204_201240_LEFT.rxp
63,65,M230905_201061_201103_LEFT.rxp,M230905_201180_201197_LEFT.rxp
63,66,M230905_201061_201103_LEFT.rxp,M230905_201204_201240_LEFT.rxp
64,65,M230905_201174_201180_LEFT.rxp,M230905_201180_201197_LEFT.rxp
66,67,M230905_201204_201240_LEFT.rxp,M230905_201240_201277_LEFT.rxp
66,68,M230905_201204_201240_LEFT.rxp,M230905_201351_201360_LEFT.rxp
66,69,M230905_201204_201240_LEFT.rxp,M230905_201360_201420_LEFT.rxp
67,71,M230905_201240_201277_LEFT.rxp,M230905_201480_201512_LEFT.rxp
67,92,M230905_201240_201277_LEFT.rxp,M230905_203760_203821_LEFT.rxp
67,93,M230905_201240_201277_LEFT.rxp,M230905_203821_203880_LEFT.rxp
68,69,M230905_201351_201360_LEFT.rxp,M230905_201360_201420_LEFT.rxp
69,70,M230905_201360_201420_LEFT.rxp,M230905_201420_201480_LEFT.rxp
70,71,M230905_201420_201480_LEFT.rxp,M230905_201480_201512_LEFT.rxp
72,73,M230905_202099_202140_LEFT.rxp,M230905_202140_202200_LEFT.rxp
74,75,M230905_202200_202260_LEFT.rxp,M230905_202260_202272_LEFT.rxp
81,82,M230905_202862_202920_LEFT.rxp,M230905_202920_202938_LEFT.rxp
83,84,M230905_203236_203280_LEFT.rxp,M230905_203280_203341_LEFT.rxp
84,85,M230905_203280_203341_LEFT.rxp,M230905_203341_203400_LEFT.rxp
85,86,M230905_203341_203400_LEFT.rxp,M230905_203400_203460_LEFT.rxp
86,87,M230905_203400_203460_LEFT.rxp,M230905_203460_203520_LEFT.rxp
87,88,M230905_203460_203520_LEFT.rxp,M230905_203520_203580_LEFT.rxp
88,89,M230905_203520_203580_LEFT.rxp,M230905_203580_203641_LEFT.rxp
89,90,M230905_203580_203641_LEFT.rxp,M230905_203641_203701_LEFT.rxp
90,91,M230905_203641_203701_LEFT.rxp,M230905_203701_203760_LEFT.rxp
91,92,M230905_203701_203760_LEFT.rxp,M230905_203760_203821_LEFT.rxp
92,93,M230905_203760_203821_LEFT.rxp,M230905_203821_203880_LEFT.rxp
93,94,M230905_203821_203880_LEFT.rxp,M230905_203880_203941_LEFT.rxp
94,95,M230905_203880_203941_LEFT.rxp,M230905_203941_204000_LEFT.rxp
95,96,M230905_203941_204000_LEFT.rxp,M230905_204000_204060_LEFT.rxp
96,97,M230905_204000_204060_LEFT.rxp,M230905_204060_204120_LEFT.rxp
97,98,M230905_204060_204120_LEFT.rxp,M230905_204120_204180_LEFT.rxp
98,99,M230905_204120_204180_LEFT.rxp,M230905_204180_204240_LEFT.rxp
100,101,M230905_204240_204300_LEFT.rxp,M230905_204300_204360_LEFT.rxp
299,303,M230905_220140_220192_LEFT.rxp,M230905_220559_220605_LEFT.rxp
