id_1,id_2,name_1,name_2
315,316,M230905_222780_222840_LEFT.rxp,M230905_222840_222900_LEFT.rxp
320,321,M230905_223080_223140_LEFT.rxp,M230905_223140_223200_LEFT.rxp
