id_1,id_2,name_1,name_2
47,49,M230905_200243_200280_LEFT.rxp,M230905_200353_200400_LEFT.rxp
47,96,M230905_200243_200280_LEFT.rxp,M230905_204000_204060_LEFT.rxp
47,97,M230905_200243_200280_LEFT.rxp,M230905_204060_204120_LEFT.rxp
50,57,M230905_200400_200460_LEFT.rxp,M230905_200760_200802_LEFT.rxp
51,57,M230905_200460_200520_LEFT.rxp,M230905_200760_200802_LEFT.rxp
51,94,M230905_200460_200520_LEFT.rxp,M230905_203880_203941_LEFT.rxp
52,94,M230905_200520_200522_LEFT.rxp,M230905_203880_203941_LEFT.rxp
53,94,M230905_200536_200580_LEFT.rxp,M230905_203880_203941_LEFT.rxp
54,55,M230905_200580_200609_LEFT.rxp,M230905_200660_200682_LEFT.rxp
54,56,M230905_200580_200609_LEFT.rxp,M230905_200738_200760_LEFT.rxp
59,94,M230905_200940_200948_LEFT.rxp,M230905_203880_203941_LEFT.rxp
60,94,M230905_200967_200973_LEFT.rxp,M230905_203880_203941_LEFT.rxp
61,93,M230905_200991_201001_LEFT.rxp,M230905_203821_203880_LEFT.rxp
62,66,M230905_201001_201061_LEFT.rxp,M230905_201204_201240_LEFT.rxp
63,65,M230905_201061_201103_LEFT.rxp,M230905_201180_201197_LEFT.rxp
63,66,M230905_201061_201103_LEFT.rxp,M230905_201204_201240_LEFT.rxp
66,68,M230905_201204_201240_LEFT.rxp,M230905_201351_201360_LEFT.rxp
67,71,M230905_201240_201277_LEFT.rxp,M230905_201480_201512_LEFT.rxp
67,92,M230905_201240_201277_LEFT.rxp,M230905_203760_203821_LEFT.rxp
