id_1,id_2,name_1,name_2
124,187,M230905_205440_205473_LEFT.rxp,M230905_210381_210420_LEFT.rxp
125,188,M230905_205532_205560_LEFT.rxp,M230905_210420_210480_LEFT.rxp
125,290,M230905_205532_205560_LEFT.rxp,M230905_219507_219540_LEFT.rxp
126,292,M230905_205560_205620_LEFT.rxp,M230905_219610_219651_LEFT.rxp
126,293,M230905_205560_205620_LEFT.rxp,M230905_219735_219780_LEFT.rxp
126,295,M230905_205560_205620_LEFT.rxp,M230905_219851_219900_LEFT.rxp
187,287,M230905_210381_210420_LEFT.rxp,M230905_219240_219262_LEFT.rxp
188,283,M230905_210420_210480_LEFT.rxp,M230905_219069_219120_LEFT.rxp
188,290,M230905_210420_210480_LEFT.rxp,M230905_219507_219540_LEFT.rxp
188,295,M230905_210420_210480_LEFT.rxp,M230905_219851_219900_LEFT.rxp
188,296,M230905_210420_210480_LEFT.rxp,M230905_219900_219902_LEFT.rxp
188,297,M230905_210420_210480_LEFT.rxp,M230905_219912_219934_LEFT.rxp
283,285,M230905_219069_219120_LEFT.rxp,M230905_219146_219180_LEFT.rxp
284,285,M230905_219120_219137_LEFT.rxp,M230905_219146_219180_LEFT.rxp
286,288,M230905_219180_219240_LEFT.rxp,M230905_219326_219359_LEFT.rxp
286,289,M230905_219180_219240_LEFT.rxp,M230905_219359_219399_LEFT.rxp
292,295,M230905_219610_219651_LEFT.rxp,M230905_219851_219900_LEFT.rxp
293,295,M230905_219735_219780_LEFT.rxp,M230905_219851_219900_LEFT.rxp
