id_1,id_2,name_1,name_2
46,99,M230905_199980_200009_LEFT.rxp,M230905_204180_204240_LEFT.rxp
47,49,M230905_200243_200280_LEFT.rxp,M230905_200353_200400_LEFT.rxp
47,96,M230905_200243_200280_LEFT.rxp,M230905_204000_204060_LEFT.rxp
47,97,M230905_200243_200280_LEFT.rxp,M230905_204060_204120_LEFT.rxp
50,57,M230905_200400_200460_LEFT.rxp,M230905_200760_200802_LEFT.rxp
51,57,M230905_200460_200520_LEFT.rxp,M230905_200760_200802_LEFT.rxp
51,94,M230905_200460_200520_LEFT.rxp,M230905_203880_203941_LEFT.rxp
52,94,M230905_200520_200522_LEFT.rxp,M230905_203880_203941_LEFT.rxp
53,94,M230905_200536_200580_LEFT.rxp,M230905_203880_203941_LEFT.rxp
54,55,M230905_200580_200609_LEFT.rxp,M230905_200660_200682_LEFT.rxp
54,56,M230905_200580_200609_LEFT.rxp,M230905_200738_200760_LEFT.rxp
59,94,M230905_200940_200948_LEFT.rxp,M230905_203880_203941_LEFT.rxp
60,94,M230905_200967_200973_LEFT.rxp,M230905_203880_203941_LEFT.rxp
61,93,M230905_200991_201001_LEFT.rxp,M230905_203821_203880_LEFT.rxp
62,66,M230905_201001_201061_LEFT.rxp,M230905_201204_201240_LEFT.rxp
63,65,M230905_201061_201103_LEFT.rxp,M230905_201180_201197_LEFT.rxp
63,66,M230905_201061_201103_LEFT.rxp,M230905_201204_201240_LEFT.rxp
66,68,M230905_201204_201240_LEFT.rxp,M230905_201351_201360_LEFT.rxp
67,71,M230905_201240_201277_LEFT.rxp,M230905_201480_201512_LEFT.rxp
67,92,M230905_201240_201277_LEFT.rxp,M230905_203760_203821_LEFT.rxp
103,109,M230905_204421_204481_LEFT.rxp,M230905_204660_204720_LEFT.rxp
103,110,M230905_204421_204481_LEFT.rxp,M230905_204720_204723_LEFT.rxp
103,111,M230905_204421_204481_LEFT.rxp,M230905_204726_204732_LEFT.rxp
103,112,M230905_204421_204481_LEFT.rxp,M230905_204746_204780_LEFT.rxp
103,115,M230905_204421_204481_LEFT.rxp,M230905_204900_204954_LEFT.rxp
103,117,M230905_204421_204481_LEFT.rxp,M230905_205056_205080_LEFT.rxp
104,117,M230905_204481_204484_LEFT.rxp,M230905_205056_205080_LEFT.rxp
105,117,M230905_204499_204540_LEFT.rxp,M230905_205056_205080_LEFT.rxp
107,117,M230905_204597_204600_LEFT.rxp,M230905_205056_205080_LEFT.rxp
108,117,M230905_204600_204660_LEFT.rxp,M230905_205056_205080_LEFT.rxp
109,115,M230905_204660_204720_LEFT.rxp,M230905_204900_204954_LEFT.rxp
113,114,M230905_204780_204832_LEFT.rxp,M230905_204863_204900_LEFT.rxp
115,116,M230905_204900_204954_LEFT.rxp,M230905_204979_205015_LEFT.rxp
115,117,M230905_204900_204954_LEFT.rxp,M230905_205056_205080_LEFT.rxp
116,117,M230905_204979_205015_LEFT.rxp,M230905_205056_205080_LEFT.rxp
298,302,M230905_220131_220140_LEFT.rxp,M230905_220513_220559_LEFT.rxp
299,300,M230905_220140_220192_LEFT.rxp,M230905_220442_220499_LEFT.rxp
299,302,M230905_220140_220192_LEFT.rxp,M230905_220513_220559_LEFT.rxp
299,303,M230905_220140_220192_LEFT.rxp,M230905_220559_220605_LEFT.rxp
300,302,M230905_220442_220499_LEFT.rxp,M230905_220513_220559_LEFT.rxp
300,303,M230905_220442_220499_LEFT.rxp,M230905_220559_220605_LEFT.rxp
301,302,M230905_220499_220508_LEFT.rxp,M230905_220513_220559_LEFT.rxp
