id_1,id_2,name_1,name_2
137,150,M230905_206221_206280_LEFT.rxp,M230905_207360_207420_LEFT.rxp
139,146,M230905_206340_206400_LEFT.rxp,M230905_207149_207180_LEFT.rxp
148,167,M230905_207240_207300_LEFT.rxp,M230905_208320_208375_LEFT.rxp
149,153,M230905_207300_207360_LEFT.rxp,M230905_207718_207720_LEFT.rxp
149,154,M230905_207300_207360_LEFT.rxp,M230905_207720_207780_LEFT.rxp
149,168,M230905_207300_207360_LEFT.rxp,M230905_208414_208440_LEFT.rxp
154,179,M230905_207720_207780_LEFT.rxp,M230905_209012_209040_LEFT.rxp
155,157,M230905_207780_207812_LEFT.rxp,M230905_207913_207960_LEFT.rxp
155,178,M230905_207780_207812_LEFT.rxp,M230905_208920_208968_LEFT.rxp
155,179,M230905_207780_207812_LEFT.rxp,M230905_209012_209040_LEFT.rxp
155,183,M230905_207780_207812_LEFT.rxp,M230905_209160_209220_LEFT.rxp
156,166,M230905_207850_207900_LEFT.rxp,M230905_208260_208320_LEFT.rxp
156,183,M230905_207850_207900_LEFT.rxp,M230905_209160_209220_LEFT.rxp
157,166,M230905_207913_207960_LEFT.rxp,M230905_208260_208320_LEFT.rxp
157,173,M230905_207913_207960_LEFT.rxp,M230905_208680_208740_LEFT.rxp
157,179,M230905_207913_207960_LEFT.rxp,M230905_209012_209040_LEFT.rxp
157,181,M230905_207913_207960_LEFT.rxp,M230905_209100_209134_LEFT.rxp
158,161,M230905_207960_208020_LEFT.rxp,M230905_208080_208102_LEFT.rxp
158,162,M230905_207960_208020_LEFT.rxp,M230905_208105_208140_LEFT.rxp
158,163,M230905_207960_208020_LEFT.rxp,M230905_208140_208157_LEFT.rxp
158,184,M230905_207960_208020_LEFT.rxp,M230905_209220_209231_LEFT.rxp
159,177,M230905_208020_208027_LEFT.rxp,M230905_208860_208920_LEFT.rxp
160,177,M230905_208070_208080_LEFT.rxp,M230905_208860_208920_LEFT.rxp
161,177,M230905_208080_208102_LEFT.rxp,M230905_208860_208920_LEFT.rxp
162,184,M230905_208105_208140_LEFT.rxp,M230905_209220_209231_LEFT.rxp
164,177,M230905_208198_208200_LEFT.rxp,M230905_208860_208920_LEFT.rxp
165,174,M230905_208200_208260_LEFT.rxp,M230905_208740_208800_LEFT.rxp
165,177,M230905_208200_208260_LEFT.rxp,M230905_208860_208920_LEFT.rxp
165,185,M230905_208200_208260_LEFT.rxp,M230905_209320_209340_LEFT.rxp
166,182,M230905_208260_208320_LEFT.rxp,M230905_209159_209160_LEFT.rxp
166,183,M230905_208260_208320_LEFT.rxp,M230905_209160_209220_LEFT.rxp
167,172,M230905_208320_208375_LEFT.rxp,M230905_208651_208680_LEFT.rxp
167,180,M230905_208320_208375_LEFT.rxp,M230905_209040_209078_LEFT.rxp
169,170,M230905_208440_208452_LEFT.rxp,M230905_208495_208500_LEFT.rxp
169,180,M230905_208440_208452_LEFT.rxp,M230905_209040_209078_LEFT.rxp
172,181,M230905_208651_208680_LEFT.rxp,M230905_209100_209134_LEFT.rxp
173,178,M230905_208680_208740_LEFT.rxp,M230905_208920_208968_LEFT.rxp
173,183,M230905_208680_208740_LEFT.rxp,M230905_209160_209220_LEFT.rxp
178,183,M230905_208920_208968_LEFT.rxp,M230905_209160_209220_LEFT.rxp
